Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0765717108056987,-0.000305321354473288,0.182746551264274,0,0,0,224.620223914356,11.108875181717,-0.000143787949337127,-0.00666553671990701,35.7202876824402,-0.00132350955436525,40.7667100665166,0,0,0,0,0,0,package://carver_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/base_link.STL,,body-2;electronic_box-1;seat-1;alu30_85-1;alu30_85-2;alu30_300-1;alu30_300-2;alu30_300-3;alu30_300-4;alu30_350-3;alu30_350-4;alu30_1130-3;alu30_1130-4;alu30_524-1;tag-1;hand-1;base_C16-1;base_realsense-1;alu30_300-5;base_IMU-1;alu30_300-6;plate_L515V2-1;base_sickV2-1;spacer-2;spacer-1;spacer-3;spacer-4;basse_c1m1_V3-1;Carver_2_IMU_Support_Proto.step-1;basse_c1m1_V2-3;base_frontlidar-1;base_display-1;base_frontlidar-2,Base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_sterring_Link,-6.87012402522669E-09,3.51066137271872E-09,-0.0112499999237069,0,0,0,0.0307417074716638,5.15827058483555E-06,2.87694711205719E-08,-2.37787643316582E-12,5.94711293506547E-06,1.79592218418332E-13,8.17709432093611E-06,0,0,0,0,0,0,package://carver_description/meshes/front_right_sterring_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/front_right_sterring_Link.STL,,Part99-1,SRF_cs,SRF_axis,base_front_right_sterring_joint,revolute,0.639118924633511,-0.284499999999994,-0.158749999999999,0,0,0,base_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
front_right_wheel_Link,0.00138386531093282,8.32667268468867E-17,0.0379747931765428,0,0,0,5.024500013847,0.0459745995956163,8.73502726855944E-19,0.00152760354434749,0.0459189311540779,2.21482778889901E-18,0.0878380602731089,0,0,0,0,0,0,package://carver_description/meshes/front_right_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/front_right_wheel_Link.STL,,wheel-1,RF_cs,RF_axis,front_right_steering_front_right_wheel_joint,continuous,-0.00404234340824972,-0.110926369542007,-0.0112500000000002,-1.5707963267949,0,0,front_right_sterring_Link,0.036417508182449,0,0.999336662540598,100,100,,,,,,,,,,
front_left_sterring_Link,7.10743075504894E-09,-3.0012958229797E-09,-0.0112499999237069,0,0,0,0.0307417074716638,5.15827283476504E-06,-2.88003004005144E-08,2.38464111309773E-12,5.94711068513598E-06,-6.03807311086712E-15,8.17709432093612E-06,0,0,0,0,0,0,package://carver_description/meshes/front_left_sterring_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/front_left_sterring_Link.STL,,Part99-2,SLF_cs,SLF_axis,base_front_left_sterring_joint,revolute,0.639118924633511,0.284499999999994,-0.158749999999999,0,0,0,base_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
front_left_wheel_Link,0.00138386531093293,1.38777878078145E-16,-0.0379747931765427,0,0,0,5.02450001384701,0.0459745995956163,4.79764755280667E-19,-0.00152760354434749,0.0459189311540779,-2.40802616071845E-18,0.0878380602731089,0,0,0,0,0,0,package://carver_description/meshes/front_left_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/front_left_wheel_Link.STL,,wheel-4,LF_cs,LF_axis,front_left_steering_front_left_wheel_joint,continuous,-0.00404234340824972,0.110926369542007,-0.0112500000000002,-1.5707963267949,0,0,front_left_sterring_Link,0.036417508182449,0,-0.999336662540598,100,100,,,,,,,,,,
rear_right_wheel_Link,-1.11022302462516E-16,-8.32667268468867E-17,0.0379999999999999,0,0,0,5.024500013847,0.0459189311540779,-1.56634920793041E-17,1.5500519296842E-19,0.045918931154078,2.98988825793E-19,0.0878937287146473,0,0,0,0,0,0,package://carver_description/meshes/rear_right_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/rear_right_wheel_Link.STL,,wheel-2,RB_cs,RB_axis,base_rear_right_wheel_joint,continuous,-0.636881075366491,-0.3955,-0.17,-1.5707963267949,0,0,base_link,0,0,1,100,100,,,,,,,,,,
rear_left_wheel_Link,-1.11022302462516E-16,-5.55111512312578E-17,-0.038,0,0,0,5.024500013847,0.0459189311540779,-1.69253786030664E-17,-3.82127958527989E-20,0.0459189311540779,-3.5370156940672E-19,0.0878937287146472,0,0,0,0,0,0,package://carver_description/meshes/rear_left_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/rear_left_wheel_Link.STL,,wheel-3,LB_cs,LB_axis,base_rear_left_wheel_joint,continuous,-0.636881075366491,0.3955,-0.17,-1.5707963267949,0,0,base_link,0,0,-1,100,100,,,,,,,,,,
C16_Link,-0.00088474978448877,1.07190642272392E-07,0.00143612694647577,0,0,0,0.663324628749119,0.000791421263365419,1.38226469561758E-09,-5.15681751766988E-06,0.000800507843146539,1.51968163395454E-09,0.000866550903215115,0,0,0,0,0,0,package://carver_description/meshes/C16_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/C16_Link.STL,,3DLIDAR_C16-1,C16_cs,C16_axis,base_C16_joint,fixed,0.237767026438191,0,1.56788196587259,0,0,0,base_link,0,0,0,,,,,,,,,,,,
T265_Link,-0.00700393876079974,-0.00123869269728641,-9.55081819808967E-06,0,0,0,0.015352262982903,1.39361946583924E-05,1.34672770579493E-08,1.90513550223783E-09,9.41413823478598E-07,4.36675000350756E-09,1.32399745397941E-05,0,0,0,0,0,0,package://carver_description/meshes/T265_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://carver_description/meshes/T265_Link.STL,,Intel_RealSense_Tracking_Camera_T265-2,T265_cs,T265_axis,base_T265_joint,fixed,0.914568924633506,0.000699999999822833,0.423999999999455,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L515_Link,-0.0138329335160927,0.000212766276144195,-0.0151333320328252,0,0,0,0.0519003008833496,2.29233885806633E-05,-3.43966785553731E-08,-9.60811102903896E-09,1.23501086319306E-05,1.73643710033919E-07,1.35094237257254E-05,0,0,0,0,0,0,package://carver_description/meshes/L515_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://carver_description/meshes/L515_Link.STL,,Intel RealSense L515-1,L515_cs,L515_axis,base_L515_joint,fixed,0.929717002207267,-1.17161560733146E-05,-0.0149951470092575,0,0,0,base_link,0,0,0,,,,,,,,,,,,
LD_SICK_Link,-0.0476495449150161,3.70691349494235E-07,-4.44702155644183E-06,0,0,0,0.911976961838322,0.00155787250018401,-1.82431705564109E-09,2.07922879380138E-08,0.0012763862501827,-1.43394136883926E-08,0.00165040465761084,0,0,0,0,0,0,package://carver_description/meshes/LD_SICK_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/LD_SICK_Link.STL,,Sick - LD-MRS400001-1,LD_SICK_cs,LD_SICK_axis,base_LD_SICK_joint,fixed,0.942318924633513,0,0.215,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RPLIDAR_LB_Link,-0.000213861534750115,-9.30543889128277E-05,-0.0160849090284972,0,0,0,0.0328083847884842,1.08465576772131E-05,-2.43583766177749E-09,1.62330710182403E-08,1.07881861028149E-05,-4.20828622810503E-09,1.96376022023911E-05,0,0,0,0,0,0,package://carver_description/meshes/RPLIDAR_LB_Link.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://carver_description/meshes/RPLIDAR_LB_Link.STL,,C1M1_appearance_V2_20230926.3d_model-3,RPLIDAR_LB_cs,RPLIDAR_LB_axis,base_RPLIDAR_LB_joint,fixed,-0.851155901465486,0.34071809177296,0.154015,0,0,3.14124991984497,base_link,0,0,0,,,,,,,,,,,,
IMU_R_Link,0.000436358638984391,8.66736194223838E-05,-0.0010632487544171,0,0,0,0.000983130183652042,2.7278081479223E-08,-1.86463715352951E-11,-1.83135757569472E-11,4.80453464098755E-08,1.81575171892503E-12,7.48563776021962E-08,0,0,0,0,0,0,package://carver_description/meshes/IMU_R_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/IMU_R_Link.STL,,Adafruit_BNO055-2,IMU_R_cs,IMU_R_axis,base_IMU_R_joint,fixed,0.0271694412238607,-0.0191012435918216,0.383,0,0,0,base_link,0,0,0,,,,,,,,,,,,
IMU_L_Link,0.000436358638983645,8.6673619412142E-05,-0.0010632487544171,0,0,0,0.000983130183652038,2.7278081479223E-08,-1.86463715354835E-11,-1.83135757570018E-11,4.80453464098757E-08,1.8157517189233E-12,7.48563776021965E-08,0,0,0,0,0,0,package://carver_description/meshes/IMU_L_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/IMU_L_Link.STL,,Adafruit_BNO055-1,IMU_L_cs,IMU_L_axis,base_IMU_L_joint,fixed,0.029419441223861,0.0191387564081886,0.383,0,0,0,base_link,0,0,0,,,,,,,,,,,,
